bill_number,vote_location,vote_margin
AB 412,Assembly,4.0
AB 446,Assembly,6.0
AB 1018,Assembly,9.0
AB 1331,Assembly,14.0
AB 302,Assembly,15.0
AB 222,Assembly,16.0
AB 33,Assembly,16.0
AB 1405,Assembly,21.0
AB 322,Assembly,21.0
AB 1337,Assembly,23.0
AB 2,Assembly,25.0
AB 1242,Assembly,31.0
AB 410,Assembly,36.0
AB 887,Assembly,36.0
AB 279,Assembly,37.0
AB 392,Assembly,37.0
AB 979,Assembly,37.0
AB 489,Assembly,38.0
SB 420,Senate,5.0
SB 238,Senate,6.0
SB 354,Senate,7.0
SB 384,Senate,7.0
SB 52,Senate,7.0
SB 259,Senate,9.0
SB 69,Senate,14.0
SB 690,Senate,14.0
SB 833,Senate,16.0
SB 435,Senate,18.0
